,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Atuona,2,PF,1573948850,70,-9.8,-139.03,80.11,13.56
1,Dikson,0,RU,1573948788,87,73.51,80.55,-11.42,9.17
2,Baracoa,58,CU,1573948852,74,20.35,-74.5,81.27,0.76
3,Gat,98,SN,1573948853,83,14.69,-16.54,75.2,6.93
4,Clyde River,1,CA,1573948851,77,70.47,-68.59,3.2,13.87
5,Severo-Yeniseyskiy,100,RU,1573948856,97,60.37,93.04,-13.13,4.21
6,Lompoc,1,US,1573948672,28,34.64,-120.46,82.4,10.29
7,Albany,20,US,1573948766,35,42.65,-73.75,26.6,6.93
8,Jamestown,68,AU,1573948799,28,-33.21,138.6,63.27,7.36
9,Rikitea,71,PF,1573948773,83,-23.12,-134.97,74.84,14.61
10,Ushuaia,75,AR,1573948756,76,-54.81,-68.31,55.4,11.41
11,Vao,100,EE,1573948863,97,59.1,26.19,40.15,9.69
12,Esperance,0,AU,1573948864,41,-33.86,121.89,75.2,21.92
13,Puerto Ayora,40,EC,1573948778,65,-0.74,-90.35,77.0,5.82
14,Le Vauclin,75,MQ,1573948866,94,14.55,-60.84,78.8,2.24
15,Egvekinot,60,RU,1573948844,94,66.32,-179.17,6.1,10.02
16,Chokurdakh,99,RU,1573948869,97,70.62,147.9,-1.28,5.3
17,San Rafael del Sur,40,NI,1573948870,66,11.85,-86.44,86.0,9.17
18,Vaini,12,IN,1573948871,91,15.34,74.49,67.03,5.82
19,Northam,90,AU,1573948873,83,-31.65,116.67,69.8,3.36
20,Avarua,0,CK,1573948875,78,-21.21,-159.78,78.8,16.11
21,Namibe,90,AO,1573948876,79,-15.19,12.15,70.29,13.53
22,Oussouye,96,SN,1573948878,83,12.49,-16.54,78.8,4.7
23,Colquechaca,100,BO,1573948879,44,-18.7,-66.0,54.63,5.97
24,San Jeronimo,43,PE,1573948880,92,-13.65,-73.37,50.52,4.07
25,Georgetown,40,GY,1573948881,83,6.8,-58.16,82.4,6.93
26,Mahon,100,IE,1573948882,80,51.89,-8.4,39.2,6.93
27,Bojnurd,92,IR,1573948884,92,37.47,57.33,28.4,3.56
28,Mataura,32,NZ,1573948885,56,-46.19,168.86,57.0,11.99
29,Jiuquan,53,CN,1573948886,44,39.73,98.49,12.4,2.59
30,Cape Town,40,ZA,1573948770,72,-33.93,18.42,62.01,16.11
31,Jumla,0,NP,1573948888,36,29.28,82.18,36.73,4.61
32,Colon,75,PH,1573948890,78,10.22,123.75,82.4,6.93
33,Te Anau,66,NZ,1573948891,86,-45.41,167.72,43.97,8.59
34,Rundu,57,NA,1573948892,36,-17.91,19.77,78.8,2.24
35,Madimba,75,CM,1573948893,88,4.42,9.93,80.6,4.7
36,Busselton,0,AU,1573948783,45,-33.64,115.35,75.0,4.16
37,Port Alfred,25,ZA,1573948896,94,-33.59,26.89,64.0,1.01
38,Finote Selam,80,ET,1573948897,89,10.7,37.27,54.81,3.36
39,Yellowknife,90,CA,1573948798,84,62.45,-114.38,6.01,4.7
40,Seoul,20,KR,1573948899,37,37.57,126.98,44.6,3.36
41,Leshukonskoye,76,RU,1573948861,95,64.9,45.76,23.2,5.68
42,Makushino,100,RU,1573948902,92,55.21,67.25,28.38,12.24
